a에서 b% 청구 할인			퍼센트 청구 할인 		PBD	Percent Billing Discount
a에서 b% 즉시 할인			퍼센트 즉시 할인 		PID	Percent Immediate Discount
a에서 b% 할인			퍼센트 일반 할인 		PND	Percent Normal Discount
a에서 b% 캐시백			퍼센트 캐시백 		PCB	Percent Cash Back
a에서 b% 포인트/마일리지 적립		퍼센트 적립 		PGP	Percent Get Point

a에서 b원 청구 할인			금액 청구 할인 		WBD	Won Billing Discount
a에서 b원 즉시 할인			금액 즉시 할인 		WID	Won Immediate Discount
a에서 b원 할인			금액 일반 할인 		WND	Won Normal Discount
a에서 b원 캐시백			금액 캐시백 		WCB	Won Cash Back


a에서 b원당 c 포인트/마일리지 적립	원당 적립 			FGP	For every won Get Point
a에서 b원당 c 원 청구 할인		원당 청구 할인		FBD	For every won Get Point
a에서 b원당 c 원 즉시 할인		원당 즉시 할인		FID	For every won Get Point
a에서 b원당 c 원 할인			원당 일반 할인		FND	For every won Normal Discount

a에서 b 포인트/마일리지 적립		일반 적립 			NGP	Normal Get Point

a에서 1리터당 b원 청구 할인		리터당 금액 청구 할인 		LBD	Liter Billing Discount	
a에서 1리터당 b원 즉시 할인		리터당 금액 즉시 할인 		LID	Liter Billing Discount
a에서 1리터당 b원 할인		리터당 금액 일반 할인 		LND	Liter Normal Discount
a에서 1리터당 b c포인트/마일리지 적립	리터당 포인트 적립 		LGP	Liter Get Point
a에서 1리터당 b원 캐시백		리터당 포인트 적립 		LCB	Liter Cash Back
