am	AMEX
am_f	AMEX(가족)
am_m	AMEX(모바일단독)
bc	BC
bc_g	BC Global
bc_n	BC(국내전용)
jc	JCB
jc_o	JCB(One Way)
jc_g	JCB(골드)
jc_m	JCB(모바일단독)
jc_s	JCB(실버)
kw	K-World
kw_j	K-World(JCB)
kw_u	K-World(UPI)
kw_m	K-World(모바일단독)
ma	Master
ma_p	Master(Platinum)
ma_f	Master(가족)
ma_g	Master(골드)
ma_n	Master(국내외겸용)
ma_m	Master(모바일단독)
ma_s	Master(실버)
ma_i	Master(해외전용)
ow	One Way
sa	S&
un	Union Pay
un_n	Union Pay(국내전용)
un_m	Union Pay(모바일단독)
up	UPI
ur	URS
vs	VISA
vs_p	VISA(Platinum)
vs_f	VISA(가족)
vs_g	VISA(골드)
vs_n	VISA(국내외겸용)
vs_m	VISA(모바일단독)
vs_s	VISA(실버)
na	국내전용
na_f	국내전용(가족)
na_m	국내전용(모바일단독)
