benefit_id,benefit_number1,benefit_number2,benefit_type,brand_id,card_code,category_id
1,6000,0,WND,8,297,1
2,10,0,PBD,8,2565,1
3,10,0,PBD,8,3459,1
4,5,0,PND,8,3474,1
5,5,0,PCB,8,3770,1
6,5000,0,WBD,8,3790,1
7,5,0,PGP,8,3857,1
8,10,0,PBD,8,3859,1
9,5000,0,WBD,8,3948,1
10,3,0,PBD,8,3979,1
11,0.5,0,PGP,9,3711,1
12,5000,0,WBD,9,3790,1
13,5,0,PGP,9,3857,1
14,1,0,PGP,9,3896,1
15,5000,0,WBD,9,3948,1
16,3,0,PBD,9,3979,1
17,7,0,PGP,9,4000,1
18,1,0,PGP,7,339,1
19,10,0,PID,7,339,1
20,5,0,PCB,7,353,1
21,5,0,PGP,7,354,1
22,10,0,PBD,7,2565,1
23,10,0,PCB,7,3171,1
24,5,0,PBD,7,3340,1
25,10,0,PBD,7,3375,1
26,10,0,PCB,7,3414,1
27,10,0,PBD,7,3459,1
28,5,0,PND,7,3474,1
29,5,0,PCB,7,3560,1
30,10,0,PBD,7,3573,1
31,1.4,0,PGP,7,3578,1
32,2.4,0,PGP,7,3659,1
33,20,0,PBD,7,3709,1
34,5,0,PCB,7,3770,1
35,5000,0,WBD,7,3790,1
36,5,0,PCB,7,3841,1
37,0.5,0,PCB,7,3845,1
38,5,0,PGP,7,3857,1
39,10,0,PBD,7,3859,1
40,7,0,PGP,7,3861,1
41,1000,0,WCB,7,3864,1
42,1000,0,NGP,7,3881,1
43,0.6,0,PGP,7,3885,1
44,0.6,0,PGP,7,3898,1
45,1000,0,WCB,7,3910,1
46,0.6,0,PGP,7,3913,1
47,10,0,PID,7,3919,1
48,5,0,PID,7,3920,1
49,5,0,PID,7,3921,1
50,10,0,PCB,7,3933,1
51,2.4,0,PGP,7,3945,1
52,5000,0,WBD,7,3948,1
53,0.6,0,PGP,7,3961,1
54,0.7,0,PGP,7,3965,1
55,3,0,PBD,7,3979,1
56,1.4,0,PGP,7,3999,1
57,0.4,0,PGP,7,4012,1
58,7,0,PBD,7,4063,1
59,7,0,PGP,7,4095,1
60,1000,0,WND,7,4100,1
61,1000,0,WND,7,4101,1
62,10,0,PND,7,4137,1
63,1000,0,WND,7,4193,1
64,5,0,PCB,7,6021,1
65,1500,2,FGP,18,1210,2
66,5,0,PBD,18,3420,2
67,10,0,PBD,18,3482,2
68,5000,0,WBD,18,3790,2
69,0.5,0,PCB,18,3845,2
70,5,0,PBD,18,3847,2
71,5000,0,WBD,18,3948,2
72,5,0,PBD,18,3976,2
73,7,0,PND,18,4060,2
74,5,0,PND,18,4061,2
75,10,0,PND,18,4062,2
76,3,0,PGP,18,4188,2
77,5,0,PCB,11,380,2
78,1500,2,FGP,11,1210,2
79,5,0,PGP,11,1239,2
80,5,0,PBD,11,3650,2
81,5,0,PCB,11,3841,2
82,5,0,PBD,11,3847,2
83,1000,0,WCB,11,3904,2
84,1000,0,WCB,11,3910,2
85,3,0,PGP,11,3924,2
86,5,0,PBD,11,3951,2
87,5,0,PBD,11,3976,2
88,7,0,PBD,11,4063,2
89,0.5,0,PGP,11,4073,2
90,0.5,0,PGP,11,4074,2
91,0.5,0,PGP,11,4076,2
92,0.5,0,PGP,11,4196,2
93,10,0,PBD,14,3482,2
94,5,0,PBD,14,3420,2
95,1500,2,FGP,17,1210,2
96,0.5,0,PCB,17,3845,2
97,5,0,PBD,17,3847,2
98,5,0,PBD,17,3976,2
99,7,0,PND,17,4060,2
100,6000,0,WND,10,297,2
101,3,0,PCB,10,353,2
102,3,0,PGP,10,354,2
103,5,0,PCB,10,368,2
104,5,0,PCB,10,380,2
105,1500,2,FGP,10,1210,2
106,5,0,PGP,10,1239,2
107,5,0,PCB,10,2633,2
108,3,0,PCB,10,3414,2
109,5,0,PBD,10,3650,2
110,5,0,PCB,10,3841,2
111,5,0,PBD,10,3847,2
112,5,0,PCB,10,3890,2
113,5,0,PCB,10,3892,2
114,1000,0,WCB,10,3904,2
115,1000,0,WCB,10,3910,2
116,10,0,PID,10,3919,2
117,3,0,PGP,10,3924,2
118,5,0,PCB,10,3930,2
119,5000,0,WBD,10,3948,2
120,5,0,PBD,10,3951,2
121,5,0,PBD,10,3976,2
122,5,0,PBD,10,3980,2
123,7,0,PND,10,4060,2
124,7,0,PBD,10,4063,2
125,0.5,0,PGP,10,4073,2
126,0.5,0,PGP,10,4074,2
127,0.5,0,PGP,10,4076,2
128,5,0,PCB,10,4096,2
129,5,0,PBD,10,4097,2
130,1000,0,WND,10,4100,2
131,1000,0,WND,10,4101,2
132,0.5,0,PGP,10,4196,2
133,3,0,PCB,13,353,2
134,3,0,PGP,13,354,2
135,5,0,PCB,13,368,2
136,5,0,PCB,13,2633,2
137,3,0,PCB,13,3414,2
138,5,0,PBD,13,3420,2
139,10,0,PBD,13,3482,2
140,5000,0,WBD,13,3790,2
141,0.5,0,PCB,13,3845,2
142,5,0,PBD,13,3847,2
143,5,0,PCB,13,3890,2
144,5,0,PCB,13,3892,2
145,5,0,PCB,13,3930,2
146,5,0,PBD,13,3976,2
147,5,0,PBD,13,3980,2
148,5,0,PND,13,4061,2
149,10,0,PND,13,4062,2
150,3000,0,WND,13,4088,2
151,5,0,PBD,13,4097,2
152,3,0,PGP,13,4188,2
153,1000,0,WND,13,4193,2
154,1500,2,FGP,16,1210,2
155,5,0,PBD,16,3420,2
156,10,0,PBD,16,3482,2
157,5000,0,WBD,16,3790,2
158,5,0,PBD,16,3847,2
159,5000,0,WBD,16,3948,2
160,5,0,PBD,16,3976,2
161,7,0,PBD,16,4063,2
162,5,0,PCB,16,4096,2
163,1000,0,WND,16,4193,2
164,5,0,PCB,12,380,2
165,1500,2,FGP,12,1210,2
166,5,0,PGP,12,1239,2
167,5,0,PBD,12,3650,2
168,5,0,PCB,12,3841,2
169,5,0,PBD,12,3847,2
170,1000,0,WCB,12,3904,2
171,1000,0,WCB,12,3910,2
