fee_id,am,am_f,am_m,bc,bc_n,bc_g,na,na_f,na_m,jc,jc_g,jc_m,jc_o,jc_s,kw,kw_j,kw_m,kw_u,ma,ma_n,ma_f,ma_g,ma_m,ma_i,ma_p,ma_s,ow,sa,un,un_n,un_m,up,ur,vs,vs_n,vs_f,vs_g,vs_m,vs_p,vs_s,card_code
1,-1,-1,-1,-1,-1,-1,2000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5000,-1,-1,-1,-1,-1,-1,16
2,-1,-1,-1,-1,-1,-1,4000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5000,-1,-1,-1,-1,-1,-1,20
3,-1,-1,-1,-1,-1,-1,8000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,31
4,-1,-1,-1,2000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4000,-1,-1,-1,-1,-1,-1,236
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7000,-1,-1,-1,-1,-1,-1,-1,-1,-1,5000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,287
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,5000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,289
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15000,-1,-1,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,291
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7000,-1,-1,-1,-1,-1,-1,-1,-1,-1,5000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,297
9,-1,-1,-1,-1,-1,-1,5000,-1,1000,10000,-1,6000,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,6000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,6000,-1,-1,339
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20000,-1,-1,15000,-1,-1,-1,-1,-1,-1,-1,20000,-1,-1,-1,15000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20000,-1,-1,15000,350
